vehicle_count,car_count,bus_count,truck_count,motorcycle_count,hour,day_of_week,is_weekend,is_peak_hour,rain_intensity,visibility,incident_nearby,avg_speed_kmh,hour_sin,hour_cos,density_class
25,11,2,1,11,2,5,1,0,0.0268,0.979,0,52.1,0.5,0.866025,low
44,23,5,3,13,4,6,1,0,0.0723,0.9615,0,45.72,0.866025,0.5,medium
42,23,6,3,10,1,6,1,0,0.2906,0.9342,0,43.04,0.258819,0.965926,medium
42,24,5,3,10,21,2,0,0,0.0475,0.984,0,46.69,-0.707107,0.707107,medium
74,42,9,7,16,18,5,1,1,0.1544,0.9562,0,35.48,-1.0,-0.0,medium
5,2,0,0,3,6,5,1,0,0.0489,0.9706,0,57.77,1.0,0.0,low
38,18,4,3,13,2,3,0,0,0.0428,0.9854,0,47.96,0.5,0.866025,low
13,6,1,1,5,12,5,1,0,0.0787,0.9832,0,54.92,0.0,-1.0,low
10,4,1,1,4,22,1,0,0,0.1119,0.9353,0,55.32,-0.5,0.866025,low
16,9,1,1,5,11,4,0,0,0.0176,0.9917,0,54.94,0.258819,-0.965926,low
123,66,15,6,36,17,2,0,1,0.1358,0.9142,0,21.06,-0.965926,-0.258819,high
110,64,13,8,25,18,2,0,1,0.0003,0.9999,0,27.0,-1.0,-0.0,high
73,43,8,6,16,14,4,0,0,0.0002,1.0,0,38.1,-0.5,-0.866025,medium
118,62,10,11,35,19,1,0,1,0.0307,0.9786,0,24.14,-0.965926,0.258819,high
17,9,1,1,6,2,1,0,0,0.0881,0.9339,0,53.58,0.5,0.866025,low
37,16,4,4,13,11,5,1,0,0.0178,0.9937,0,48.63,0.258819,-0.965926,low
26,13,2,2,9,3,6,1,0,0.1389,0.9459,0,50.12,0.707107,0.707107,low
145,84,13,10,38,9,1,0,1,0.2034,0.9406,0,13.45,0.707107,-0.707107,high
48,22,5,4,17,23,5,1,0,0.465,0.8429,0,38.63,-0.258819,0.965926,medium
127,64,12,10,41,18,4,0,1,0.0057,0.9984,0,21.81,-1.0,-0.0,high
23,10,2,2,9,12,4,0,0,0.4687,0.7502,0,46.07,0.0,-1.0,low
29,16,2,2,9,3,4,0,0,0.5113,0.8923,0,43.63,0.707107,0.707107,low
99,51,9,6,33,18,4,0,1,0.273,0.8756,0,26.21,-1.0,-0.0,high
20,9,2,1,8,23,5,1,0,0.281,0.9192,0,49.78,-0.258819,0.965926,low
37,20,3,2,12,3,1,0,0,0.0056,0.9983,0,48.82,0.707107,0.707107,low
57,29,4,4,20,23,3,0,0,0.2091,0.9285,0,39.76,-0.258819,0.965926,medium
36,21,4,3,8,22,3,0,0,0.002,0.9995,0,49.17,-0.5,0.866025,low
29,15,2,1,11,15,4,0,0,0.166,0.8814,0,48.81,-0.707107,-0.707107,low
50,29,5,3,13,10,3,0,0,0.0327,0.98,0,44.51,0.5,-0.866025,medium
47,22,6,5,14,11,3,0,0,0.1524,0.9116,0,43.61,0.258819,-0.965926,medium
57,32,7,6,12,22,0,0,0,0.24,0.8139,0,39.3,-0.5,0.866025,medium
32,18,3,2,9,2,1,0,0,0.0498,0.9761,0,49.65,0.5,0.866025,low
42,21,6,4,11,3,6,1,0,0.0017,0.9993,0,47.38,0.707107,0.707107,medium
28,15,3,3,7,15,1,0,0,0.0296,0.9774,0,51.16,-0.707107,-0.707107,low
105,57,9,9,30,8,5,1,1,0.0274,0.9789,0,28.09,0.866025,-0.5,high
36,21,4,2,9,0,4,0,0,0.0001,1.0,0,49.2,0.0,1.0,low
76,35,10,3,28,9,6,1,1,0.2035,0.8373,0,34.15,0.707107,-0.707107,medium
68,31,8,7,22,5,1,0,0,0.0031,0.9982,1,19.55,0.965926,0.258819,medium
53,24,4,3,22,23,1,0,0,0.1574,0.8956,0,41.74,-0.258819,0.965926,medium
28,15,4,2,7,16,3,0,0,0.1853,0.8813,0,48.82,-0.866025,-0.5,low
23,13,2,2,6,12,0,0,0,0.1786,0.9446,0,50.42,0.0,-1.0,low
46,24,4,3,15,10,1,0,0,0.5478,0.6771,0,37.98,0.5,-0.866025,medium
34,17,3,3,11,3,0,0,0,0.0024,0.9986,0,49.76,0.707107,0.707107,low
23,12,2,1,8,14,2,0,0,0.0001,0.9999,0,53.1,-0.5,-0.866025,low
32,18,3,2,9,5,5,1,0,0.0611,0.969,0,49.48,0.965926,0.258819,low
37,17,3,3,14,6,5,1,0,0.0156,0.9964,0,48.67,1.0,0.0,low
0,0,0,0,0,21,0,0,0,0.1138,0.9362,0,58.29,-0.707107,0.707107,low
37,17,3,4,13,10,2,0,0,0.1177,0.9757,0,47.13,0.5,-0.866025,low
52,29,5,4,14,22,6,1,0,0.0368,0.9827,0,43.85,-0.5,0.866025,medium
47,24,4,3,16,22,1,0,0,0.0057,0.9979,0,45.81,-0.5,0.866025,medium
82,41,11,6,24,20,5,1,1,0.0954,0.9776,0,33.97,-0.866025,0.5,medium
21,10,3,1,7,12,5,1,0,0.2336,0.8341,0,50.2,0.0,-1.0,low
98,44,9,9,36,9,1,0,1,0.0258,0.9879,0,30.21,0.707107,-0.707107,high
14,6,1,1,6,12,4,0,0,0.0398,0.969,0,55.2,0.0,-1.0,low
26,12,2,2,10,15,3,0,0,0.1581,0.8988,0,49.83,-0.707107,-0.707107,low
35,19,5,3,8,23,3,0,0,0.7428,0.4977,0,38.36,-0.258819,0.965926,low
18,10,2,0,6,5,0,0,0,0.0478,0.97,0,53.88,0.965926,0.258819,low
63,36,8,4,15,21,1,0,0,0.0795,0.9518,1,19.91,-0.707107,0.707107,medium
67,32,5,4,26,9,5,1,1,0.0305,0.9866,0,39.44,0.707107,-0.707107,medium
7,3,1,0,3,10,5,1,0,0.1794,0.8567,0,55.21,0.5,-0.866025,low
138,70,20,14,34,8,0,0,1,0.0216,0.9898,0,18.28,0.866025,-0.5,high
0,0,0,0,0,12,3,0,0,0.0416,0.969,0,59.38,0.0,-1.0,low
132,68,19,12,33,20,1,0,1,0.0086,0.9942,0,20.27,-0.866025,0.5,high
30,15,3,1,11,6,5,1,0,0.319,0.9167,0,46.21,1.0,0.0,low
46,21,4,3,18,22,6,1,0,0.0085,0.996,0,46.07,-0.5,0.866025,medium
172,99,13,14,46,18,0,0,1,0.0865,0.9611,1,5.0,-1.0,-0.0,high
0,0,0,0,0,6,3,0,0,0.0273,0.9903,0,59.59,1.0,0.0,low
123,58,10,7,48,17,2,0,1,0.0424,0.988,0,22.46,-0.965926,-0.258819,high
57,27,7,6,17,16,4,0,0,0.0205,0.9958,0,42.59,-0.866025,-0.5,medium
40,19,4,2,15,6,1,0,0,0.2076,0.9188,0,44.89,1.0,0.0,medium
145,72,20,13,40,19,0,0,1,0.0002,0.9999,0,16.5,-0.965926,0.258819,high
68,40,8,4,16,5,0,0,0,0.0037,0.9971,1,19.54,0.965926,0.258819,medium
44,24,6,2,12,13,6,1,0,0.3538,0.9185,0,41.49,-0.258819,-0.965926,medium
35,19,4,3,9,1,4,0,0,0.0111,0.9941,0,49.33,0.258819,0.965926,low
61,35,6,5,15,17,6,1,1,0.0398,0.9796,0,41.1,-0.965926,-0.258819,medium
3,1,0,0,2,11,1,0,0,0.2718,0.7968,0,55.02,0.258819,-0.965926,low
110,62,9,7,32,9,3,0,1,0.11,0.9711,0,25.35,0.707107,-0.707107,high
35,18,4,2,11,10,5,1,0,0.0001,0.9999,0,49.5,0.5,-0.866025,low
40,22,4,4,10,0,4,0,0,0.2511,0.8904,0,44.23,0.0,1.0,medium
113,58,11,6,38,17,1,0,1,0.002,0.9994,0,26.07,-0.965926,-0.258819,high
41,23,5,4,9,0,3,0,0,0.6501,0.7715,0,37.95,0.0,1.0,medium
21,9,2,1,9,14,6,1,0,0.005,0.9965,0,53.63,-0.5,-0.866025,low
28,13,4,1,10,2,5,1,0,0.0572,0.9747,0,50.74,0.5,0.866025,low
47,27,4,4,12,5,6,1,0,0.0018,0.9994,0,45.87,0.965926,0.258819,medium
148,78,17,11,42,17,1,0,1,0.0194,0.9871,0,15.31,-0.965926,-0.258819,high
134,62,19,9,44,8,0,0,1,0.0029,0.999,0,19.76,0.866025,-0.5,high
0,0,0,0,0,21,4,0,0,0.052,0.9587,0,59.22,-0.707107,0.707107,low
54,31,5,5,13,16,2,0,0,0.0007,0.9996,0,43.79,-0.866025,-0.5,medium
129,64,16,10,39,18,0,0,1,0.0008,0.9995,0,21.29,-1.0,-0.0,high
140,81,18,16,25,7,4,0,1,0.0673,0.9524,1,5.0,0.965926,-0.258819,high
36,20,4,4,8,10,3,0,0,0.0526,0.9662,0,48.41,0.5,-0.866025,low
132,72,16,6,38,7,2,0,1,0.1061,0.9708,0,18.81,0.965926,-0.258819,high
26,12,2,2,10,21,2,0,0,0.0199,0.988,0,51.9,-0.707107,0.707107,low
48,24,6,2,16,21,6,1,0,0.0292,0.9832,0,45.16,-0.707107,0.707107,medium
50,26,6,3,15,12,2,0,0,0.2857,0.7965,0,40.72,0.0,-1.0,medium
129,67,14,8,40,19,1,0,1,0.3945,0.7448,0,15.38,-0.965926,0.258819,high
47,22,3,3,19,14,4,0,0,0.0145,0.9952,0,45.68,-0.5,-0.866025,medium
20,9,2,1,8,10,5,1,0,0.2112,0.9083,0,50.83,0.5,-0.866025,low
6,2,0,0,4,21,6,1,0,0.004,0.9976,0,58.14,-0.707107,0.707107,low
40,23,4,3,10,5,3,0,0,0.1368,0.9302,0,45.95,0.965926,0.258819,medium
49,24,6,5,14,4,2,0,0,0.001,0.9993,0,45.29,0.866025,0.5,medium
35,18,4,1,12,4,3,0,0,0.2714,0.9347,0,45.43,0.866025,0.5,low
113,52,12,11,38,8,4,0,1,0.2,0.8613,0,23.1,0.866025,-0.5,high
24,13,2,1,8,14,1,0,0,0.1342,0.9435,0,50.79,-0.5,-0.866025,low
130,66,18,15,31,8,1,0,1,0.006,0.9983,0,20.91,0.866025,-0.5,high
17,9,2,0,6,22,6,1,0,0.0093,0.994,0,54.76,-0.5,0.866025,low
20,10,1,1,8,12,0,0,0,0.0785,0.9486,0,52.82,0.0,-1.0,low
36,17,5,2,12,3,2,0,0,0.0498,0.9837,0,48.45,0.707107,0.707107,low
100,51,9,5,35,19,3,0,1,0.0183,0.994,0,29.73,-0.965926,0.258819,high
23,13,3,1,6,15,6,1,0,0.0329,0.9882,0,52.61,-0.707107,-0.707107,low
126,75,10,9,32,18,0,0,1,0.0052,0.9966,0,22.12,-1.0,-0.0,high
37,18,4,2,13,1,2,0,0,0.309,0.7568,0,44.27,0.258819,0.965926,low
45,24,6,5,10,15,2,0,0,0.0046,0.9981,0,46.43,-0.707107,-0.707107,medium
110,55,11,6,38,17,2,0,1,0.0122,0.9927,0,26.82,-0.965926,-0.258819,high
109,64,13,10,22,7,1,0,1,0.0874,0.9429,0,25.99,0.965926,-0.258819,high
100,53,8,10,29,23,0,0,0,0.3191,0.9353,1,5.21,-0.258819,0.965926,high
